id,created_at,updated_at,deleted_at,matchup_id,player_id,team_id,week,year,season,game_date,started_flag,actual_points,projected_points,passing_yards,passing_t_ds,interceptions,rushing_yards,rushing_t_ds,receptions,receiving_yards,receiving_t_ds,fumbles,field_goals,extra_points,slot_position
1094730572891881473,2025-08-02 17:27:37.659712+00,2025-11-04 15:22:18.357463+00,,1094730567914225665,1094730571091279873,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,0,0,0,0,0,0,0,0,0,0,0,0,0,IR
1094730576295526401,2025-08-02 17:27:38.732534+00,2025-11-04 15:22:18.745418+00,,1094730567914225665,1094730574699560961,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,12,16.54,0,0,0,0,0,6,60,0,0,0,0,WR
1094730578458902529,2025-08-02 17:27:39.390034+00,2025-11-04 15:22:19.063632+00,,1094730567914225665,1094730578008932353,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,1.4,15.4,0,0,0,0,0,1,4,0,0,0,0,WR
1094730581231599617,2025-08-02 17:27:40.226853+00,2025-11-04 15:22:19.385101+00,,1094730567914225665,1094730580772552705,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,16.6,17.14,0,0,0,31,0,6,75,0,0,0,0,RB
1094730582660055041,2025-08-02 17:27:40.670134+00,2025-11-04 15:22:19.706101+00,,1094730567914225665,1094730581643493377,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,14.18,17.89,162,1,0,57,0,0,0,0,1,0,0,QB
1094730583830233089,2025-08-02 17:27:41.022526+00,2025-11-04 15:22:20.029045+00,,1094730567914225665,1094730583182344193,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,11.1,14.84,0,0,0,14,0,6,37,0,0,0,0,RB/WR/TE
1094730585095372801,2025-08-02 17:27:41.413992+00,2025-11-04 15:22:20.386439+00,,1094730567914225665,1094730584488378369,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,8,14.41,0,0,0,0,0,3,50,0,0,0,0,BE
1094730586216235009,2025-08-02 17:27:41.755934+00,2025-11-04 15:22:20.713431+00,,1094730567914225665,1094730585503465473,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,17.9,11.69,0,0,0,40,1,3,49,0,0,0,0,BE
1094730587175256065,2025-08-02 17:27:42.048825+00,2025-11-04 15:22:21.032767+00,,1094730567914225665,1094730586804912129,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,10.66,16.51,169,1,2,39,0,0,0,0,1,0,0,QB
1094730588442492929,2025-08-02 17:27:42.435123+00,2025-11-04 15:22:21.354081+00,,1094730567914225665,1094730587837104129,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,8.4,10.98,0,0,0,0,0,4,44,0,0,0,0,TE
1094730589456924673,2025-08-02 17:27:42.744611+00,2025-11-04 15:22:21.674762+00,,1094730567914225665,1094730588839739393,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,14.9,10.8,0,0,0,0,0,5,39,1,0,0,0,BE
1094730590428332033,2025-08-02 17:27:43.040529+00,2025-11-04 15:22:21.996309+00,,1094730567914225665,1094730590060249089,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,17.84,17.2,171,1,1,30,1,0,0,0,0,0,0,BE
1094730592019152897,2025-08-02 17:27:43.520462+00,2025-11-04 15:22:22.317331+00,,1094730567914225665,1094730591119278081,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,22.9,11.8,0,0,0,135,1,3,4,0,0,0,0,BE
1094730593065402369,2025-08-02 17:27:43.846153+00,2025-11-04 15:22:22.639051+00,,1094730567914225665,1094730592401817601,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,3.4,7.84,0,0,0,0,0,0,0,0,0,1,1,K
1094730594088386561,2025-08-02 17:27:44.153116+00,2025-11-04 15:22:22.96899+00,,1094730567914225665,1094730593719812097,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,26,7.4,0,0,0,0,0,0,0,0,0,0,0,D/ST
1094730595448225793,2025-08-02 17:27:44.566782+00,2025-11-04 15:22:23.298955+00,,1094730567914225665,1094730594739748865,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,11.8,9.77,0,0,0,0,0,6,58,0,0,0,0,BE
1094730596544741377,2025-08-02 17:27:44.904369+00,2025-11-04 15:22:23.617319+00,,1094730567914225665,1094730595874865153,1094730558715527169,1,2024,0,0001-01-01 00:00:00+00,f,22.2,3.13,0,0,0,147,1,1,5,0,0,0,0,RB
1094730597492785153,2025-08-02 17:27:45.196458+00,2025-11-04 15:22:23.969669+00,,1094730567914225665,1094730597137383425,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,31.18,23.63,232,2,0,39,2,0,0,0,1,0,0,QB
1094730598841319425,2025-08-02 17:27:45.609939+00,2025-11-04 15:22:24.314117+00,,1094730567914225665,1094730598123241473,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,16.42,21.2,278,2,2,33,0,0,0,0,2,0,0,QB
1094730599846772737,2025-08-02 17:27:45.915415+00,2025-11-04 15:22:24.635605+00,,1094730567914225665,1094730599209566209,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,7.1,15.53,0,0,0,0,0,4,31,0,0,0,0,WR
1094730600949743617,2025-08-02 17:27:46.251937+00,2025-11-04 15:22:24.96121+00,,1094730567914225665,1094730600479424513,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,6.4,14.14,0,0,0,0,0,3,34,0,0,0,0,TE
1094730602305650689,2025-08-02 17:27:46.660478+00,2025-11-04 15:22:25.290695+00,,1094730567914225665,1094730601687678977,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,10,13.63,0,0,0,14,0,5,36,0,0,0,0,WR
1094730603244486657,2025-08-02 17:27:46.953244+00,2025-11-04 15:22:25.612734+00,,1094730567914225665,1094730602653974529,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,11.6,13.98,0,0,0,0,0,5,66,0,0,0,0,RB/WR/TE
1094730605523927041,2025-08-02 17:27:47.648693+00,2025-11-04 15:22:25.935662+00,,1094730567914225665,1094730603896602625,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,19.3,13.33,0,0,0,50,1,3,33,0,0,0,0,RB
1094730606524235777,2025-08-02 17:27:47.954316+00,2025-11-04 15:22:26.288436+00,,1094730567914225665,1094730605882572801,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,3.6,13.76,0,0,0,0,0,2,16,0,0,0,0,BE
1094730607630385153,2025-08-02 17:27:48.290217+00,2025-11-04 15:22:26.610103+00,,1094730567914225665,1094730607233564673,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,3.3,12.32,0,0,0,23,0,1,0,0,0,0,0,RB
1094730608882745345,2025-08-02 17:27:48.671323+00,2025-11-04 15:22:26.953755+00,,1094730567914225665,1094730608261922817,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,6.5,11.69,0,0,0,0,0,3,35,0,0,0,0,BE
1094730609606393857,2025-08-02 17:27:48.893365+00,2025-11-04 15:22:27.271211+00,,1094730567914225665,1094730609238278145,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,10.36,17.1,144,1,0,6,0,0,0,0,0,0,0,BE
1094730610893357057,2025-08-02 17:27:49.289956+00,2025-11-04 15:22:27.59968+00,,1094730567914225665,1094730610216009729,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,12.9,9.8,0,0,0,40,1,2,9,0,0,0,0,BE
1094730611871219713,2025-08-02 17:27:49.582857+00,2025-11-04 15:22:27.921426+00,,1094730567914225665,1094730611249479681,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,9.9,8.58,0,0,0,0,0,0,0,0,0,2,4,K
1094730612858683393,2025-08-02 17:27:49.887362+00,2025-11-04 15:22:28.245318+00,,1094730567914225665,1094730612490338305,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,2.1,7.48,0,0,0,21,0,0,0,0,0,0,0,BE
1094730614146170881,2025-08-02 17:27:50.278315+00,2025-11-04 15:22:28.571883+00,,1094730567914225665,1094730613479571457,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,13,6.19,0,0,0,0,0,0,0,0,0,0,0,D/ST
1094730615126425601,2025-08-02 17:27:50.575557+00,2025-11-04 15:22:28.890784+00,,1094730567914225665,1094730614514909185,1094730560272891905,1,2024,0,0001-01-01 00:00:00+00,f,2.5,10.34,0,0,0,0,0,1,15,0,0,0,0,BE
1094730616516706305,2025-08-02 17:27:51.003206+00,2025-11-04 15:22:29.411123+00,,1094730615736926209,1094730616163729409,1094730558067343361,1,2024,0,0001-01-01 00:00:00+00,f,15.9,18.13,0,0,0,0,0,4,59,1,0,0,0,WR
1094730617799311361,2025-08-02 17:27:51.397045+00,2025-11-04 15:22:29.73081+00,,1094730615736926209,1094730617092276225,1094730558067343361,1,2024,0,0001-01-01 00:00:00+00,f,10.8,16.75,0,0,0,48,1,0,0,0,0,0,0,RB
1094730619455569921,2025-08-02 17:27:51.844761+00,2025-11-04 15:22:30.051637+00,,1094730615736926209,1094730618215006209,1094730558067343361,1,2024,0,0001-01-01 00:00:00+00,f,13.3,17.27,0,0,0,71,0,3,32,0,0,0,0,RB
1094730620426289153,2025-08-02 17:27:52.195779+00,2025-11-04 15:22:30.43735+00,,1094730615736926209,1094730619837054977,1094730558067343361,1,2024,0,0001-01-01 00:00:00+00,f,17.4,16.59,0,0,0,40,1,4,34,0,0,0,0,RB/WR/TE
