id,created_at,updated_at,deleted_at,espn_id,name,position,team,fantasy_points,status,passing_yards,passing_t_ds,interceptions,rushing_yards,rushing_t_ds,receptions,receiving_yards,receiving_t_ds,fumbles,field_goals,extra_points
1094730571091279873,2025-08-02 17:27:36.700345+00,2025-08-23 01:20:17.325034+00,,3117251,Christian McCaffrey,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730574699560961,2025-08-02 17:27:38.241826+00,2025-08-23 01:20:17.716769+00,,4569618,Garrett Wilson,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730578008932353,2025-08-02 17:27:39.25514+00,2025-08-23 01:20:17.9988+00,,4432708,Marvin Harrison Jr.,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730580772552705,2025-08-02 17:27:40.093637+00,2025-08-23 01:20:18.302708+00,,4697815,Rachaad White,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730581643493377,2025-08-02 17:27:40.360247+00,2025-08-23 01:20:18.618044+00,,3917315,Kyler Murray,QB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730583182344193,2025-08-02 17:27:40.829317+00,2025-08-23 01:20:18.92026+00,,4429615,Zay Flowers,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730584488378369,2025-08-02 17:27:41.228188+00,2025-08-23 01:20:19.22379+00,,3925357,Calvin Ridley,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730585503465473,2025-08-02 17:27:41.537713+00,2025-08-23 01:20:19.516077+00,,4241474,Brian Robinson Jr.,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730586804912129,2025-08-02 17:27:41.935743+00,2025-08-23 01:20:19.794882+00,,3122840,Deshaun Watson,QB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730587837104129,2025-08-02 17:27:42.250428+00,2025-08-23 01:20:20.066458+00,,3123076,David Njoku,TE,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730588839739393,2025-08-02 17:27:42.556307+00,2025-08-23 01:20:20.326957+00,,4612826,Ladd McConkey,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730590060249089,2025-08-02 17:27:42.928877+00,2025-08-23 01:20:20.612924+00,,15864,Geno Smith,QB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730591119278081,2025-08-02 17:27:43.240346+00,2025-08-23 01:20:20.912279+00,,4241985,J.K. Dobbins,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730592401817601,2025-08-02 17:27:43.644204+00,2025-08-23 01:20:21.177278+00,,3049899,Younghoe Koo,K,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730593719812097,2025-08-02 17:27:44.041186+00,2025-08-23 01:20:21.44664+00,,-16003,Bears D/ST,D/ST,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730594739748865,2025-08-02 17:27:44.355171+00,2025-08-23 01:20:21.721136+00,,4432665,Brock Bowers,TE,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730595874865153,2025-08-02 17:27:44.708778+00,2025-08-23 01:20:22.004107+00,,4360569,Jordan Mason,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730597137383425,2025-08-02 17:27:45.088781+00,2025-08-23 01:20:22.279243+00,,3918298,Josh Allen,QB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730598123241473,2025-08-02 17:27:45.390237+00,2025-08-23 01:20:22.556333+00,,4040715,Jalen Hurts,QB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730599209566209,2025-08-02 17:27:45.721011+00,2025-08-23 01:20:22.868814+00,,4035687,Michael Pittman Jr.,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730600479424513,2025-08-02 17:27:46.107448+00,2025-08-23 01:20:23.139959+00,,15847,Travis Kelce,TE,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730601687678977,2025-08-02 17:27:46.475558+00,2025-08-23 01:20:23.4136+00,,3915416,DJ Moore,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730602653974529,2025-08-02 17:27:46.772176+00,2025-08-23 01:20:23.682647+00,,4595348,Malik Nabers,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730603896602625,2025-08-02 17:27:47.151437+00,2025-08-23 01:20:23.942093+00,,3045147,James Conner,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730605882572801,2025-08-02 17:27:47.756305+00,2025-08-23 01:20:24.222523+00,,2976499,Amari Cooper,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730607233564673,2025-08-02 17:27:48.171093+00,2025-08-23 01:20:24.518066+00,,4361579,Javonte Williams,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730608261922817,2025-08-02 17:27:48.481911+00,2025-08-23 01:20:24.797656+00,,4429205,Jordan Addison,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730609238278145,2025-08-02 17:27:48.781247+00,2025-08-23 01:20:25.068283+00,,4038941,Justin Herbert,QB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730610216009729,2025-08-02 17:27:49.080392+00,2025-08-23 01:20:25.337509+00,,3051392,Ezekiel Elliott,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730611249479681,2025-08-02 17:27:49.394179+00,2025-08-23 01:20:25.644289+00,,3050478,Jake Elliott,K,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730612490338305,2025-08-02 17:27:49.772719+00,2025-08-23 01:20:25.9262+00,,4373626,Tyler Allgeier,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730613479571457,2025-08-02 17:27:50.07603+00,2025-08-23 01:20:26.184839+00,,-16023,Steelers D/ST,D/ST,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730614514909185,2025-08-02 17:27:50.391728+00,2025-08-23 01:20:26.448773+00,,4040655,Darnell Mooney,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730616163729409,2025-08-02 17:27:50.889849+00,2025-08-23 01:20:26.854526+00,,4262921,Justin Jefferson,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730617092276225,2025-08-02 17:27:51.180635+00,2025-08-23 01:20:27.149385+00,,4242335,Jonathan Taylor,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730618215006209,2025-08-02 17:27:51.521446+00,2025-08-23 01:20:27.451097+00,,4379399,James Cook,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730619837054977,2025-08-02 17:27:52.014407+00,2025-08-23 01:20:27.738833+00,,4429795,Jahmyr Gibbs,RB,"",0,"",0,0,0,0,0,0,0,0,0,0,0
1094730621059170305,2025-08-02 17:27:52.38889+00,2025-08-23 01:20:27.999339+00,,4241478,DeVonta Smith,WR,"",0,"",0,0,0,0,0,0,0,0,0,0,0
