id,created_at,updated_at,deleted_at,team_id,year,league_id,final_week,expected_wins,expected_losses,actual_wins,actual_losses,win_luck,strength_of_schedule,total_points_for,total_points_against,average_points_for,average_points_against,playoff_made,final_standing
1101008004876042241,2025-08-24 21:36:17.946748+00,2025-08-24 21:36:17.946748+00,2025-09-09 14:50:35.014726+00,1094730558067343361,2024,345674,14,10.327,3.673,10,4,8.874,0.28571,2079.86,1882.88,148.56,134.49,t,1
1101008006152388609,2025-08-24 21:36:18.372517+00,2025-08-24 21:36:18.372517+00,2025-09-09 14:50:35.014726+00,1094730561517977601,2024,345674,14,7.321,6.680,7,7,6.233,0.50000,1978.66,1969.98,141.33,140.71,t,1
1101008007326793729,2025-08-24 21:36:18.726968+00,2025-08-24 21:36:18.726968+00,2025-09-09 14:50:35.014726+00,1094730560901054465,2024,345674,14,5.890,8.112,6,8,5.325,0.57143,1823.78,1909.34,130.27,136.38,t,1
1101008008535244801,2025-08-24 21:36:19.10259+00,2025-08-24 21:36:19.10259+00,2025-09-09 14:50:35.014726+00,1094730558715527169,2024,345674,14,6.674,7.327,6,8,5.343,0.57143,1871.20,2013.18,133.66,143.80,t,1
1101008009761030145,2025-08-24 21:36:19.472308+00,2025-08-24 21:36:19.472308+00,2025-09-09 14:50:35.014726+00,1094730564354113537,2024,345674,14,8.440,5.560,8,6,7.130,0.42857,2024.80,1913.54,144.63,136.68,t,1
1101008011526438913,2025-08-24 21:36:20.013119+00,2025-08-24 21:36:20.013119+00,2025-09-09 14:50:35.014726+00,1094730560272891905,2024,345674,14,7.555,6.446,7,7,6.223,0.50000,1936.34,1921.36,138.31,137.24,t,1
1101008012707102721,2025-08-24 21:36:20.375516+00,2025-08-24 21:36:20.375516+00,2025-09-09 14:50:35.014726+00,1094730559831605249,2024,345674,14,5.682,8.319,6,8,5.342,0.57143,1802.28,1865.44,128.73,133.25,t,1
1101008013872889857,2025-08-24 21:36:20.724735+00,2025-08-24 21:36:20.724735+00,2025-09-09 14:50:35.014726+00,1094730559239651329,2024,345674,14,8.205,5.795,10,4,8.895,0.28571,1977.54,1760.56,141.25,125.75,t,1
1101008015240429569,2025-08-24 21:36:21.146938+00,2025-08-24 21:36:21.146938+00,2025-09-09 14:50:35.014726+00,1094730562427092993,2024,345674,14,5.348,8.653,5,9,4.441,0.64286,1820.70,2000.56,130.05,142.90,t,1
1101008016478994433,2025-08-24 21:36:21.524589+00,2025-08-24 21:36:21.524589+00,2025-09-09 14:50:35.014726+00,1094730561944420353,2024,345674,14,4.564,9.436,5,9,4.454,0.64286,1779.42,1857.74,127.10,132.70,t,1
1101008628506099713,2025-08-24 21:39:28.273241+00,2025-08-24 21:39:28.273241+00,,1094730558067343361,2023,345674,14,9.308,4.693,10,4,8.889,0.28571,2059.82,1879.00,147.13,134.21,t,1
1101008629670576129,2025-08-24 21:39:28.655682+00,2025-08-24 21:39:28.655682+00,,1094730561517977601,2023,345674,14,4.786,9.214,4,10,3.558,0.71429,1759.34,1904.72,125.67,136.05,t,1
1101008630935879681,2025-08-24 21:39:29.041494+00,2025-08-24 21:39:29.041494+00,,1094730560901054465,2023,345674,14,8.338,5.664,10,4,8.869,0.28571,2064.38,1872.86,147.46,133.78,t,1
1101008632080662529,2025-08-24 21:39:29.386461+00,2025-08-24 21:39:29.386461+00,,1094730558715527169,2023,345674,14,7.004,6.996,6,8,5.347,0.57143,1841.00,1954.94,131.50,139.64,t,1
1101008633233211393,2025-08-24 21:39:29.743005+00,2025-08-24 21:39:29.743005+00,,1094730564354113537,2023,345674,14,6.567,7.433,9,5,7.988,0.35714,1926.80,1614.48,137.63,115.32,t,1
1101008634779860993,2025-08-24 21:39:30.216217+00,2025-08-24 21:39:30.216217+00,,1094730560272891905,2023,345674,14,9.109,4.892,8,6,7.109,0.42857,2124.58,1974.70,151.76,141.05,t,1
1101008635949907969,2025-08-24 21:39:30.572919+00,2025-08-24 21:39:30.572919+00,,1094730559831605249,2023,345674,14,5.782,8.218,5,9,4.444,0.64286,1791.40,1834.46,127.96,131.03,t,1
1101008637106716673,2025-08-24 21:39:30.918012+00,2025-08-24 21:39:30.918012+00,,1094730559239651329,2023,345674,14,6.894,7.106,6,8,5.339,0.57143,1836.70,1828.06,131.19,130.58,t,1
1101008638445617153,2025-08-24 21:39:31.335157+00,2025-08-24 21:39:31.335157+00,,1094730562427092993,2023,345674,14,6.119,7.883,5,9,4.443,0.64286,1782.70,2083.36,127.34,148.81,t,1
1101008639582928897,2025-08-24 21:39:31.681136+00,2025-08-24 21:39:31.681136+00,,1094730561944420353,2023,345674,14,6.119,7.882,7,7,6.224,0.50000,1841.14,2081.28,131.51,148.66,t,1
1101008883353288705,2025-08-24 21:40:46.041258+00,2025-08-24 21:40:46.041258+00,,1094730558067343361,2022,345674,14,8.892,5.108,7,7,6.213,0.50000,2058.56,1855.48,147.04,132.53,t,1
1101008884794884097,2025-08-24 21:40:46.510085+00,2025-08-24 21:40:46.510085+00,,1094730561517977601,2022,345674,14,6.682,7.318,8,6,7.124,0.42857,1823.92,1630.80,130.28,116.49,t,1
1101008885988720641,2025-08-24 21:40:46.877004+00,2025-08-24 21:40:46.877004+00,,1094730560901054465,2022,345674,14,4.638,9.364,6,8,5.332,0.57143,1694.62,1906.62,121.04,136.19,t,1
1101008887139237889,2025-08-24 21:40:47.228149+00,2025-08-24 21:40:47.228149+00,,1094730558715527169,2022,345674,14,9.248,4.752,8,6,7.101,0.42857,2110.26,1947.40,150.73,139.10,t,1
1101008888648499201,2025-08-24 21:40:47.690396+00,2025-08-24 21:40:47.690396+00,,1094730564354113537,2022,345674,14,10.210,3.792,11,3,9.756,0.21429,2087.84,1800.00,149.13,128.57,t,1
1101008890078953473,2025-08-24 21:40:48.117626+00,2025-08-24 21:40:48.117626+00,,1094730560272891905,2022,345674,14,6.673,7.327,9,5,8.007,0.35714,1810.50,1749.16,129.32,124.94,t,1
1101008891208892417,2025-08-24 21:40:48.470304+00,2025-08-24 21:40:48.470304+00,,1094730559831605249,2022,345674,14,6.120,7.881,4,10,3.553,0.71429,1811.24,1999.74,129.37,142.84,t,1
1101008892344434689,2025-08-24 21:40:48.820932+00,2025-08-24 21:40:48.820932+00,,1094730559239651329,2022,345674,14,7.672,6.330,7,7,6.234,0.50000,1884.84,1985.86,134.63,141.85,t,1
1101008893537779713,2025-08-24 21:40:49.179282+00,2025-08-24 21:40:49.179282+00,,1094730562427092993,2022,345674,14,4.590,9.411,4,10,3.558,0.71429,1707.46,2070.90,121.96,147.92,t,1
1101008894655430657,2025-08-24 21:40:49.518042+00,2025-08-24 21:40:49.518042+00,,1094730561944420353,2022,345674,14,5.328,8.673,6,8,5.341,0.57143,1741.02,1784.30,124.36,127.45,t,1
1101009133185597441,2025-08-24 21:42:02.271422+00,2025-08-24 21:42:02.271422+00,,1094730558067343361,2021,345674,14,4.790,9.211,3,11,2.667,0.78571,1728.90,1990.10,123.49,142.15,t,1
1101009134497366017,2025-08-24 21:42:02.712125+00,2025-08-24 21:42:02.712125+00,,1094730561517977601,2021,345674,14,8.449,5.551,7,7,6.218,0.50000,2056.48,2000.92,146.89,142.92,t,1
1101009135953444865,2025-08-24 21:42:03.156747+00,2025-08-24 21:42:03.156747+00,,1094730560901054465,2021,345674,14,7.327,6.674,8,6,7.106,0.42857,2024.46,1914.28,144.60,136.73,t,1
1101009137331306497,2025-08-24 21:42:03.581138+00,2025-08-24 21:42:03.581138+00,,1094730558715527169,2021,345674,14,5.777,8.223,5,9,4.449,0.64286,1844.00,1868.40,131.71,133.46,t,1
1101009138672238593,2025-08-24 21:42:03.982705+00,2025-08-24 21:42:03.982705+00,,1094730564354113537,2021,345674,14,6.130,7.872,7,7,6.219,0.50000,1914.44,1976.82,136.75,141.20,t,1
1101009140101480449,2025-08-24 21:42:04.426957+00,2025-08-24 21:42:04.426957+00,,1094730560272891905,2021,345674,14,8.772,5.228,9,5,7.999,0.35714,2042.38,1925.00,145.88,137.50,t,1
1101009141364981761,2025-08-24 21:42:04.800247+00,2025-08-24 21:42:04.800247+00,,1094730559831605249,2021,345674,14,6.765,7.237,9,5,8.004,0.35714,1848.92,1808.88,132.07,129.21,t,1
1101009142750609409,2025-08-24 21:42:05.230469+00,2025-08-24 21:42:05.230469+00,,1094730559239651329,2021,345674,14,8.108,5.894,8,6,7.102,0.42857,2002.44,1928.20,143.03,137.73,t,1
1101009143987863553,2025-08-24 21:42:05.614086+00,2025-08-24 21:42:05.614086+00,,1094730562427092993,2021,345674,14,7.232,6.768,6,8,5.326,0.57143,1983.82,2022.60,141.70,144.47,t,1
1101009145267650561,2025-08-24 21:42:05.999448+00,2025-08-24 21:42:05.999448+00,,1094730561944420353,2021,345674,14,6.682,7.319,8,6,7.116,0.42857,1917.96,1928.60,137.00,137.76,t,1
1101009389156204545,2025-08-24 21:43:20.400788+00,2025-08-24 21:43:20.400788+00,,1094730558067343361,2020,345674,13,7.661,5.340,9,4,8.021,0.30769,1913.60,1719.54,147.20,132.27,t,1
1101009390337818625,2025-08-24 21:43:20.792587+00,2025-08-24 21:43:20.792587+00,,1094730561517977601,2020,345674,13,4.764,8.237,4,9,3.553,0.69231,1681.72,1858.88,129.36,142.99,t,1
1101009391499640833,2025-08-24 21:43:21.148463+00,2025-08-24 21:43:21.148463+00,,1094730560901054465,2020,345674,13,5.339,7.662,6,7,5.329,0.53846,1714.68,1802.66,131.90,138.67,t,1
1101009392757080065,2025-08-24 21:43:21.525026+00,2025-08-24 21:43:21.525026+00,,1094730558715527169,2020,345674,13,5.993,7.008,6,7,5.323,0.53846,1797.44,1841.28,138.26,141.64,t,1
1101009393951178753,2025-08-24 21:43:21.899705+00,2025-08-24 21:43:21.899705+00,,1094730564354113537,2020,345674,13,9.654,3.348,8,5,7.097,0.38462,2085.02,1964.50,160.39,151.12,t,1
1101009395398475777,2025-08-24 21:43:22.337731+00,2025-08-24 21:43:22.337731+00,,1094730560272891905,2020,345674,13,5.459,7.542,4,9,3.552,0.69231,1847.26,1882.62,142.10,144.82,t,1
1101009396543520769,2025-08-24 21:43:22.689161+00,2025-08-24 21:43:22.689161+00,,1094730559831605249,2020,345674,13,8.673,4.327,9,4,8.004,0.30769,2023.70,1802.66,155.67,138.67,t,1
1101009397749907457,2025-08-24 21:43:23.055634+00,2025-08-24 21:43:23.055634+00,,1094730559239651329,2020,345674,13,7.695,5.306,8,5,7.117,0.38462,1872.12,1793.96,144.01,138.00,t,1
1101009398970908673,2025-08-24 21:43:23.427594+00,2025-08-24 21:43:23.427594+00,,1094730562427092993,2020,345674,13,4.985,8.015,5,8,4.448,0.61538,1713.32,1765.10,131.79,135.78,t,1
1101009400429379585,2025-08-24 21:43:23.876058+00,2025-08-24 21:43:23.876058+00,,1094730561944420353,2020,345674,13,4.797,8.203,6,7,5.328,0.53846,1673.54,1891.20,128.73,145.48,t,1
1101011340996345857,2025-08-24 21:53:16.025508+00,2025-08-24 21:53:16.025508+00,,1094730558067343361,2019,345674,13,8.071,4.929,8,5,7.268,0.38462,1596.88,1534.86,122.84,118.07,t,1
1101011342115831809,2025-08-24 21:53:16.40274+00,2025-08-24 21:53:16.40274+00,,1094730561517977601,2019,345674,13,5.629,7.372,6,7,5.457,0.53846,1445.60,1563.90,111.20,120.30,t,1
1101011343295545345,2025-08-24 21:53:16.762972+00,2025-08-24 21:53:16.762972+00,,1094730560901054465,2019,345674,13,5.167,7.833,5,8,4.543,0.61538,1414.82,1508.88,108.83,116.07,t,1
1101011344549150721,2025-08-24 21:53:17.136762+00,2025-08-24 21:53:17.136762+00,,1094730558715527169,2019,345674,13,8.797,4.205,7,6,6.361,0.46154,1766.72,1439.70,135.90,110.75,t,1
1101011345768742913,2025-08-24 21:53:17.517571+00,2025-08-24 21:53:17.517571+00,,1094730564354113537,2019,345674,13,6.749,6.251,8,5,7.269,0.38462,1549.28,1511.38,119.18,116.26,t,1
1101011346949046273,2025-08-24 21:53:17.878013+00,2025-08-24 21:53:17.878013+00,,1097646139402125313,2019,345674,13,4.927,8.073,4,9,3.644,0.69231,1253.90,1502.06,96.45,115.54,t,1
1101011348153597953,2025-08-24 21:53:18.245469+00,2025-08-24 21:53:18.245469+00,,1094730560272891905,2019,345674,13,6.702,6.301,8,5,7.278,0.38462,1518.86,1491.66,116.84,114.74,t,1
1101011349308866561,2025-08-24 21:53:18.599145+00,2025-08-24 21:53:18.599145+00,,1094730559831605249,2019,345674,13,5.833,7.168,6,7,5.453,0.53846,1439.84,1596.98,110.76,122.84,t,1
1101011350574596097,2025-08-24 21:53:18.978689+00,2025-08-24 21:53:18.978689+00,,1094730559239651329,2019,345674,13,7.088,5.912,7,6,6.360,0.46154,1580.78,1470.80,121.60,113.14,t,1
1101011351731765249,2025-08-24 21:53:19.339353+00,2025-08-24 21:53:19.339353+00,,1094730562427092993,2019,345674,13,5.722,7.280,6,7,5.447,0.53846,1464.30,1494.12,112.64,114.93,t,1
1101011352979243009,2025-08-24 21:53:19.71856+00,2025-08-24 21:53:19.71856+00,,1094730561944420353,2019,345674,13,4.017,8.984,3,10,2.721,0.76923,1268.10,1490.38,97.55,114.64,t,1
1101011354136838145,2025-08-24 21:53:20.075016+00,2025-08-24 21:53:20.075016+00,,1097646136082563073,2019,345674,13,9.269,3.731,10,3,9.088,0.23077,1754.84,1449.20,134.99,111.48,t,1
1101011608267128833,2025-08-24 21:54:37.593119+00,2025-08-24 21:54:37.593119+00,,1094730558067343361,2018,345674,13,10.902,2.099,11,2,9.995,0.15385,1961.86,1429.40,150.91,109.95,t,1
1101011609474859009,2025-08-24 21:54:37.988436+00,2025-08-24 21:54:37.988436+00,,1094730561517977601,2018,345674,13,4.651,8.350,5,8,4.546,0.61538,1388.50,1633.40,106.81,125.65,t,1
1101011610588872705,2025-08-24 21:54:38.333034+00,2025-08-24 21:54:38.333034+00,,1094730560901054465,2018,345674,13,7.625,5.375,7,6,6.361,0.46154,1633.58,1625.88,125.66,125.07,t,1
1101011611897659393,2025-08-24 21:54:38.736397+00,2025-08-24 21:54:38.736397+00,,1094730558715527169,2018,345674,13,9.452,3.549,11,2,10.000,0.15385,1776.30,1449.16,136.64,111.47,t,1
1101011613089103873,2025-08-24 21:54:39.096046+00,2025-08-24 21:54:39.096046+00,,1094730564354113537,2018,345674,13,8.647,4.353,8,5,7.265,0.38462,1682.04,1664.76,129.39,128.06,t,1
1101011614261346305,2025-08-24 21:54:39.45442+00,2025-08-24 21:54:39.45442+00,,1097646139402125313,2018,345674,13,3.914,9.087,2,11,1.820,0.84615,1294.24,1637.02,99.56,125.92,t,1
1101011615365038081,2025-08-24 21:54:39.78713+00,2025-08-24 21:54:39.78713+00,,1094730560272891905,2018,345674,13,7.541,5.460,9,4,8.190,0.30769,1613.76,1405.24,124.14,108.10,t,1
1101011616560807937,2025-08-24 21:54:40.159149+00,2025-08-24 21:54:40.159149+00,,1094730559831605249,2018,345674,13,6.360,6.642,7,6,6.360,0.46154,1570.98,1478.34,120.84,113.72,t,1
1101011617727873025,2025-08-24 21:54:40.514079+00,2025-08-24 21:54:40.514079+00,,1094730559239651329,2018,345674,13,8.014,4.988,8,5,7.269,0.38462,1705.96,1509.20,131.23,116.09,t,1
1101011618819276801,2025-08-24 21:54:40.847089+00,2025-08-24 21:54:40.847089+00,,1094730562427092993,2018,345674,13,4.456,8.546,4,9,3.642,0.69231,1380.34,1574.06,106.18,121.08,t,1
1101011619951214593,2025-08-24 21:54:41.195552+00,2025-08-24 21:54:41.195552+00,,1094730561944420353,2018,345674,13,2.728,10.275,2,11,1.813,0.84615,1239.38,1686.04,95.34,129.70,t,1
1101011621042487297,2025-08-24 21:54:41.527811+00,2025-08-24 21:54:41.527811+00,,1097646136082563073,2018,345674,13,3.639,9.363,4,9,3.634,0.69231,1337.04,1491.48,102.85,114.73,t,1
1101011885227343873,2025-08-24 21:56:02.111101+00,2025-08-24 21:56:02.111101+00,,1094730558067343361,2017,345674,13,9.438,3.562,9,4,8.001,0.30769,1719.50,1479.58,132.27,113.81,t,1
1101011886390214657,2025-08-24 21:56:02.500988+00,2025-08-24 21:56:02.500988+00,,1094730561517977601,2017,345674,13,6.326,6.675,5,8,4.445,0.61538,1512.72,1531.38,116.36,117.80,t,1
1101011887524478977,2025-08-24 21:56:02.847133+00,2025-08-24 21:56:02.847133+00,,1094730560901054465,2017,345674,13,5.991,7.010,7,6,6.212,0.46154,1479.00,1462.46,113.77,112.50,t,1
1101011888760061953,2025-08-24 21:56:03.224539+00,2025-08-24 21:56:03.224539+00,,1094730558715527169,2017,345674,13,7.035,5.965,9,4,8.002,0.30769,1568.10,1441.06,120.62,110.85,t,1
1101011890012520449,2025-08-24 21:56:03.607191+00,2025-08-24 21:56:03.607191+00,,1097646139402125313,2017,345674,13,4.343,8.659,6,7,5.323,0.53846,1346.84,1543.48,103.60,118.73,t,1
1101011891236175873,2025-08-24 21:56:03.975432+00,2025-08-24 21:56:03.975432+00,,1094730560272891905,2017,345674,13,5.226,7.774,3,10,2.669,0.76923,1434.00,1552.86,110.31,119.45,t,1
1101011892465532929,2025-08-24 21:56:04.357457+00,2025-08-24 21:56:04.357457+00,,1094730559831605249,2017,345674,13,10.227,2.773,12,1,10.657,0.07692,1817.56,1384.12,139.81,106.47,t,1
1101011893626732545,2025-08-24 21:56:04.70718+00,2025-08-24 21:56:04.70718+00,,1094730559239651329,2017,345674,13,5.675,7.326,4,9,3.558,0.69231,1415.68,1614.68,108.90,124.21,t,1
1101011894935814145,2025-08-24 21:56:05.111618+00,2025-08-24 21:56:05.111618+00,,1094730561944420353,2017,345674,13,5.105,7.898,5,8,4.460,0.61538,1351.38,1490.00,103.95,114.62,t,1
1101011896147410945,2025-08-24 21:56:05.480286+00,2025-08-24 21:56:05.480286+00,,1097646136082563073,2017,345674,13,5.566,7.434,5,8,4.458,0.61538,1423.20,1568.36,109.48,120.64,t,1
1105782508900515841,2025-09-10 18:20:40.921365+00,2025-12-09 17:11:15.573119+00,,1094730562427092993,2025,345674,14,9.114,4.888,11,3,0.000,0.21429,2065.74,1816.80,147.55,129.77,f,1
1105782510004338689,2025-09-10 18:20:41.285315+00,2025-12-09 17:11:15.992242+00,,1094730564354113537,2025,345674,14,8.915,5.086,9,5,0.000,0.35714,1972.10,1928.06,140.86,137.72,t,1
1105782511124185089,2025-09-10 18:20:41.628153+00,2025-12-09 17:11:16.401485+00,,1094730561517977601,2025,345674,14,6.775,7.226,5,9,0.000,0.64286,1868.64,1992.90,133.47,142.35,t,1
1105782512224698369,2025-09-10 18:20:41.96703+00,2025-12-09 17:11:16.753549+00,,1094730559239651329,2025,345674,14,5.706,8.295,4,10,0.000,0.71429,1782.14,2022.38,127.30,144.46,t,1
1105782513313185793,2025-09-10 18:20:42.295812+00,2025-12-09 17:11:17.112112+00,,1094730560901054465,2025,345674,14,5.882,8.119,6,8,0.000,0.57143,1830.50,1910.98,130.75,136.50,t,1
1105782514537725953,2025-09-10 18:20:42.667897+00,2025-12-09 17:11:17.501237+00,,1094730559831605249,2025,345674,14,5.995,8.007,5,9,0.000,0.64286,1842.74,1945.44,131.62,138.96,t,1
1105782515637092353,2025-09-10 18:20:43.004795+00,2025-12-09 17:11:17.893048+00,,1094730560272891905,2025,345674,14,6.782,7.218,9,5,0.000,0.35714,1901.06,1746.12,135.79,124.72,t,1
1105782516710768641,2025-09-10 18:20:43.333529+00,2025-12-09 17:11:18.252848+00,,1094730561944420353,2025,345674,14,4.901,9.099,5,9,0.000,0.64286,1740.38,1841.88,124.31,131.56,t,1
1105782517873377281,2025-09-10 18:20:43.68367+00,2025-12-09 17:11:18.601594+00,,1094730558715527169,2025,345674,14,6.986,7.016,6,8,0.000,0.57143,1913.16,1950.44,136.65,139.32,t,1
1105782518986604545,2025-09-10 18:20:44.027357+00,2025-12-09 17:11:18.958104+00,,1094730558067343361,2025,345674,14,8.988,5.012,10,4,0.000,0.28571,2083.66,1845.12,148.83,131.79,f,1
