id,created_at,updated_at,deleted_at,team_id,name,start_date,end_date
1094730558272765953,2025-08-02 17:27:33.198343+00,2025-08-12 23:51:11.912579+00,,1094730558067343361,Tua Deez Nutz,2025-08-02 17:27:33.198298+00,2025-08-12 23:51:11.912535+00
1094730558802460673,2025-08-02 17:27:33.393902+00,2025-08-12 23:51:12.213626+00,,1094730558715527169,Christian Mingle,2025-08-02 17:27:33.393863+00,2025-08-12 23:51:12.213591+00
1094730559331794945,2025-08-02 17:27:33.55366+00,2025-08-12 23:51:12.50836+00,,1094730559239651329,Bake Show,2025-08-02 17:27:33.55361+00,2025-08-12 23:51:12.508331+00
1094730559920340993,2025-08-02 17:27:33.733714+00,2025-08-12 23:51:12.759927+00,,1094730559831605249,Omaha Audibles,2025-08-02 17:27:33.733661+00,2025-08-12 23:51:12.759908+00
1094730560402882561,2025-08-02 17:27:33.869754+00,2025-08-12 23:51:12.992957+00,,1094730560272891905,The Nut Dumper,2025-08-02 17:27:33.86971+00,2025-08-12 23:51:12.992935+00
1094730561136984065,2025-08-02 17:27:34.059403+00,2025-08-13 00:19:44.270521+00,,1094730560901054465,Daddy Doepker,2025-08-02 17:27:34.05937+00,2025-08-13 00:19:44.270431+00
1094730561606221825,2025-08-02 17:27:34.248142+00,2025-08-12 23:51:13.335544+00,,1094730561517977601,Chef Hans,2025-08-02 17:27:34.248106+00,2025-08-12 23:51:13.335517+00
1094730562047770625,2025-08-02 17:27:34.379931+00,2025-08-22 20:12:13.057592+00,,1094730561944420353,Walker Texas  Nutter,2025-08-02 17:27:34.379891+00,2025-08-22 20:12:13.057571+00
1094730562569338881,2025-08-02 17:27:34.538782+00,2025-08-12 23:51:13.695598+00,,1094730562427092993,BbwBearcats ,2025-08-02 17:27:34.538738+00,2025-08-12 23:51:13.695581+00
1094730564442030081,2025-08-02 17:27:35.116134+00,2025-08-12 23:51:13.899847+00,,1094730564354113537,Brock'd Up,2025-08-02 17:27:35.116084+00,2025-08-12 23:51:13.899832+00
