id,created_at,updated_at,deleted_at,team_id,week,year,league_id,expected_wins,weekly_expected_wins,expected_losses,weekly_expected_losses,actual_wins,actual_losses,weekly_actual_win,win_luck,strength_of_schedule,weekly_win_probability,team_score,opponent_score,opponent_team_id,point_differential
1101007850490822657,2025-08-24 21:35:30.832802+00,2025-08-24 21:35:30.832802+00,,1094730558067343361,1,2024,345674,0.895,0.895,0.105,0.105,1,0,t,0.000,0.00000,0.89510,153.48,132.62,1094730559239651329,20.86
1101007851117969409,2025-08-24 21:35:31.062009+00,2025-08-24 21:35:31.062009+00,,1094730561517977601,1,2024,345674,1.000,1.000,0.000,0.000,1,0,t,0.000,0.00000,1.00000,155.34,116.30,1094730559831605249,39.04
1101007851759894529,2025-08-24 21:35:31.256657+00,2025-08-24 21:35:31.256657+00,,1094730560901054465,1,2024,345674,0.551,0.551,0.449,0.449,1,0,t,0.000,0.00000,0.55120,131.04,113.44,1094730562427092993,17.60
1101007852394840065,2025-08-24 21:35:31.450064+00,2025-08-24 21:35:31.450064+00,,1094730558715527169,1,2024,345674,0.330,0.330,0.670,0.670,0,1,f,0.000,1.00000,0.33020,125.94,128.20,1094730560272891905,-2.26
1101007852990726145,2025-08-24 21:35:31.631433+00,2025-08-24 21:35:31.631433+00,,1094730564354113537,1,2024,345674,0.000,0.000,1.000,1.000,0,1,f,0.000,1.00000,0.00000,89.12,146.12,1094730561944420353,-57.00
1101007853731643393,2025-08-24 21:35:31.857479+00,2025-08-24 21:35:31.857479+00,,1094730560272891905,1,2024,345674,0.446,0.446,0.554,0.554,1,0,t,0.000,0.00000,0.44620,128.20,125.94,1094730558715527169,2.26
1101007854362165249,2025-08-24 21:35:32.050005+00,2025-08-24 21:35:32.050005+00,,1094730559831605249,1,2024,345674,0.228,0.228,0.773,0.773,0,1,f,0.000,1.00000,0.22750,116.30,155.34,1094730561517977601,-39.04
1101007854967586817,2025-08-24 21:35:32.235004+00,2025-08-24 21:35:32.235004+00,,1094730559239651329,1,2024,345674,0.664,0.664,0.336,0.336,0,1,f,0.000,1.00000,0.66400,132.62,153.48,1094730558067343361,-20.86
1101007855760015361,2025-08-24 21:35:32.467793+00,2025-08-24 21:35:32.467793+00,,1094730562427092993,1,2024,345674,0.113,0.113,0.887,0.887,0,1,f,0.000,1.00000,0.11270,113.44,131.04,1094730560901054465,-17.60
1101007856443097089,2025-08-24 21:35:32.685067+00,2025-08-24 21:35:32.685067+00,,1094730561944420353,1,2024,345674,0.777,0.777,0.223,0.223,1,0,t,0.000,0.00000,0.77720,146.12,89.12,1094730564354113537,57.00
